ident,locale
KJYM,"Hillsdale, Michigan"
K1A0,"Hixson, Tennessee"
NM83,"Hobbs, New Mexico"
S66,"Homedale, Idaho"
KHSR,"Hot Springs, South Dakota"
KM48,"Houston, Missouri"
KHQG,"Hugoton, Kansas"
KW43,"Hulett, Wyoming"
KHNB,"Huntingburg, Indiana"
K69V,"Huntington, Utah"
59FD,"Immokalee, Florida"
KIDI,"Indiana, Pennsylvania"
68C,"Iola, Wisconsin"
KIFA,"Iowa Falls, Iowa"
K2F0,"Iraan, Texas"
57B,"Islesboro, Maine"
KJAS,"Jasper, Texas"
KGCD,"John Day, Oregon"
K0A4,"Johnson City, Tennessee"
K3JC,"Junction City, Kansas"
9X9,"Katy, Texas"
KS98,"Kennewick, Washington"
K50I,"Kentland, Indiana"
MO64,"Kimberling City, Missouri"
F92,"Kingfisher, Oklahoma"
O19,"Kneeland, California"
KOSX,"Kosciusko, Mississippi"
K9A5,"Lafayette, Georgia"
KBQR,"Lancaster, New York"
2L1,"Larimore, North Dakota"
KLUX,"Laurens, South Carolina"
K22N,"Lehighton, Pennsylvania"
K4K3,"Lexington, Missouri"
KLJF,"Litchfield, Minnesota"
KXVG,"Longville, Minnesota"
KLDM,"Ludington, Michigan"
KLYV,"Luverne, Minnesota"
38W,"Lynden, Washington"
KMQB,"Macomb, Illinois"
KK89,"Macon, Missouri"
K87Y,"Madison, Wisconsin"
K2I0,"Madisonville, Kentucky"
KM75,"Malta, Montana"
KY19,"Mandan, North Dakota"
KISQ,"Manistique, Michigan"
K3F3,"Mansfield, Louisiana"
K3R4,"Many, Louisiana"
KMAI,"Marianna, Florida"
KA08,"Marion, Alabama"
KMYZ,"Marysville, Kansas"
KT92,"Mason, Texas"
K22I,"Mc Arthur, Ohio"
KMQW,"Mc Rae, Georgia"
KMGC,"Michigan City, Indiana"
K7T7,"Midland, Texas"
P34,"Mifflintown, Pennsylvania"
K2M8,"Millington, Tennessee"
KNGS,"Milton, Florida"
KF24,"Minden, Louisiana"
KE01,"Monahans, Texas"
KFWQ,"Monongahela, Pennsylvania"
KMVI,"Monte Vista, Colorado"
KMXO,"Monticello, Iowa"
KMCX,"Monticello, Indiana"
KEKQ,"Monticello, Kentucky"
1U1,"Moose Creek Ranger Station, Idaho"
KBDQ,"Morrilton, Arkansas"
KMOX,"Morris, Minnesota"
KMOR,"Morristown, Tennessee"
KM71,"Moscow Mills, Missouri"
KW40,"Mount Olive, North Carolina"
KMPZ,"Mount Pleasant, Iowa"
KMOP,"Mount Pleasant, Michigan"
KI63,"Mount Sterling, Illinois"
KIOB,"Mount Sterling, Kentucky"
KMNF,"Mountain View, Missouri"
KMUT,"Muscatine, Iowa"
KUWL,"New Castle, Indiana"
KERY,"Newberry, Michigan"
I80,"Noblesville, Indiana"
5D5,"Northport, Michigan"
KOGA,"Ogallala, Nebraska"
KOLD,"Old Town, Maine"
KOLY,"Olney-Noble, Illinois"
KOSC,"Oscoda, Michigan"
KOKS,"Oshkosh, Nebraska"
KS70,"Othello, Washington"
K55K,"Oxford, Kansas"
KNRQ,"Pace, Florida"
K22S,"Paisley, Oregon"
CA92,"Paradise, California"
KY37,"Park River, North Dakota"
50S,"Parma, Idaho"
K1L9,"Parowan, Utah"
KS75,"Payette, Idaho"
L37,"Peach Springs, Arizona"
KT30,"Pearsall, Texas"
KPMB,"Pembina, North Dakota"
K0C4,"Pender, Nebraska"
KNUN,"Pensacola, Florida"
K3MY,"Peoria, Illinois"
K16D,"Perham, Minnesota"
KI76,"Peru, Indiana"
KPHP,"Philip, South Dakota"
KPJY,"Pinckneyville, Illinois"
K82V,"Pine Bluffs, Wyoming"
K2B7,"Pittsfield, Maine"
61D,"Plainwell, Michigan"
K1M5,"Portland, Tennessee"
KPOY,"Powell, Wyoming"
KM43,"Prentiss, Mississippi"
KK22,"Prestonsburg, Kentucky"
K64S,"Prospect, Oregon"
KW96,"Quinton, Virginia"
K4J5,"Quitman, Georgia"
K23M,"Quitman, Mississippi"
46N,"Red Hook, New York"
D81,"Red Lake Falls, Minnesota"
KR49,"Republic, Washington"
K1L0,"Reserve, Louisiana"
KJFZ,"Richlands, Virginia"
KRSV,"Robinson, Illinois"
KRBO,"Robstown, Texas"
96C,"Rochester, Wisconsin"
KRRQ,"Rock Rapids, Iowa"
KREO,"Rome, Oregon"
K74V,"Roosevelt, Utah"
KROX,"Roseau, Minnesota"
KT54,"Rosenberg, Texas"
K1T7,"San Antonio, Texas"
KS48,"Sandy, Oregon"
KE78,"Sells, Arizona"
KUOS,"Sewanee, Tennessee"
KSBX,"Shelby, Montana"
KEHO,"Shelby, North Carolina"
K2H0,"Shelbyville, Illinois"
KSOY,"Sioux Center, Iowa"
KN59,"Smith, Nevada"
KSNK,"Snyder, Texas"
K2G9,"Somerset, Pennsylvania"
4B0,"South Bethlehem, New York"
S44,"Spanaway, Washington"
8D4,"Sparta, Michigan"
KCMY,"Sparta, Wisconsin"
K6I2,"Springfield, Kentucky"
KM91,"Springfield, Tennessee"
KU63,"Stanley, Idaho"
K63F,"Stanton, Texas"
KSAZ,"Staples, Minnesota"
D41,"Stephen, Minnesota"
KMO3,"Stockton, Missouri"
1Q1,"Strathmore, California"
KUUV,"Sullivan, Missouri"
K71N,"Sunbury, Pennsylvania"
K12K,"Superior, Nebraska"
K24A,"Sylva, North Carolina"
KY14,"Tea, South Dakota"
3TE,"Tecumseh, Michigan"
KTEL,"Tell City, Indiana"
KTHP,"Thermopolis, Wyoming"
KTHM,"Thompson Falls, Montana"
K0F9,"Tishomingo, Oklahoma"
K8U8,"Townsend, Montana"
KO81,"Tulelake, California"
8B2,"Twin Mountain, New Hampshire"
KD00,"Twin Valley, Minnesota"
K56D,"Upper Sandusky, Ohio"
K6D8,"Valley City, North Dakota"
KVMR,"Vermillion, South Dakota"
KVTI,"Vinton, Iowa"
KY51,"Viroqua, Wisconsin"
KD86,"Visalia, California"
KIWH,"Wabash, Indiana"
15G,"Wadsworth, Ohio"
KAKQ,"Wakefield, Virginia"
37X,"Waller, Texas"
K69K,"Wamego, Kansas"
5A2,"Warner Robins, Georgia"
KNY2,"Warners, New York"
KL19,"Wasco, California"
KIIY,"Washington, Georgia"
2S5,"Waterville, Washington"
KO54,"Weaverville, California"
KS87,"Weiser, Idaho"
KN38,"Wellsboro, Pennsylvania"
KMCZ,"Williamston, North Carolina"
K65J,"Wrens, Georgia"
06WN,"Yelm, Washington"
KT85,"Yoakum, Texas"
K42I,"Zanesville, Ohio"
KPLB,"Plattsburgh, New York"
PADL,"Dillingham, Alaska"
KGSB,"Goldsboro, North Carolina"
PAHN,"Haines, Alaska"
KSZL,"Knob Noster, Missouri"
KVBG,"Lompoc, California"
KBAB,"Marysville, California"
PANT,"Metlakatla, Alaska"
KGTB,"Fort Drum, New York"
PAEM,"Emmonak, Alaska"
KVAD,"Valdosta, Georgia"
KBKF,"Aurora, Colorado"
KDAA,"Fort Belvoir, Virginia"
KHOP,"Fort Campbell/Hopkinsville, Kentucky"
PABA,"Barter Island, Alaska"
PALU,"Cape Lisburne, Alaska"
PACD,"Cold Bay, Alaska"
PAQT,"Nuiqsut, Alaska"
KCAR,"Caribou, Maine"
KOLU,"Columbus, Nebraska"
KELO,"Ely, Minnesota"
KFAF,"Fort Eustis, Virginia"
KHLR,"Fort Hood, Texas"
PAGM,"Gambell, Alaska"
PAHP,"Hooper Bay, Alaska"
KNRB,"Mayport, Florida"
KNSE,"Milton, Florida"
KHUA,"Redstone Arsnl Huntsville, Alabama"
PACM,"Scammon Bay, Alaska"
PASM,"St Mary's, Alaska"
KOLF,"Wolf Point, Montana"
PAMO,"Mountain Village, Alaska"
Z13,"Akiachak, Alaska"
0AK,"Pilot Station, Alaska"
PAPO,"Point Hope, Alaska"
KU36,"Aberdeen, Idaho"
K78,"Abilene, Kansas"
K63C,"Adams, Wisconsin"
8A7,"Advance, North Carolina"
9G6,"Albion, New York"
2D1,"Alliance, Ohio"
KA24,"Alturas, California"
KF68,"Anadarko, Oklahoma"
81D,"Angleton, Texas"
KF47,"Apalachicola, Florida"
KY93,"Atlanta, Michigan"
KAQR,"Atoka, Oklahoma"
KADU,"Audubon, Iowa"
W48,"Baltimore, Maryland"
K99N,"Bamberg, South Carolina"
4W0,"Bandera, Washington"
KPMU,"Batesville, Mississippi"
K3CM,"Bay City, Michigan"
KK06,"Beardstown, Illinois"
KACB,"Bellaire, Michigan"
KEFC,"Belle Fourche, South Dakota"
KN96,"Bellefonte, Pennsylvania"
K1M2,"Belzoni, Mississippi"
KBBP,"Bennettsville, South Carolina"
K19N,"Berlin, New Jersey"
K6S0,"Big Timber, Montana"
K07R,"Bishop, Texas"
KBCK,"Black River Falls, Wisconsin"
KHKA,"Blytheville, Arkansas"
KM08,"Bolivar, Tennessee"
K4M2,"Booneville, Arkansas"
0I2,"Brazil, Indiana"
KS97,"Brewster, Washington"
K6S1,"Bridger, Montana"
K45G,"Brighton, Michigan"
K1R7,"Brookhaven, Mississippi"
KBFE,"Brownfield, Texas"
F25,"Brownsville, California"
K1M9,"Cadiz, Kentucky"
KI10,"Caldwell, Ohio"
KCHU,"Caledonia, Minnesota"
KM34,"Calvert City, Kentucky"
K3C8,"Calverton, New York"
1W1,"Camas, Washington"
KAAS,"Campbellsville, Kentucky"
KHHF,"Canadian, Texas"
KCTK,"Canton, Illinois"
18AZ,"Carefree, Arizona"
KCZT,"Carrizo Springs, Texas"
KCIN,"Carroll, Iowa"
2Q5,"Carson City, Nevada"
K08M,"Carthage, Mississippi"
KTVK,"Centerville, Iowa"
07K,"Central City, Nebraska"
KENL,"Centralia, Illinois"
KCHQ,"Charleston, Missouri"
KSLH,"Cheboygan, Michigan"
KCKP,"Cherokee, Iowa"
KY23,"Chetek, Wisconsin"
KS71,"Chinook, Montana"
KCII,"Choteau, Montana"
K62S,"Christmas Valley, Oregon"
K0W3,"Churchville, Maryland"
K02A,"Clanton, Alabama"
K11A,"Clayton, Alabama"
KCAO,"Clayton, New Mexico"
S93,"Cle Elum, Washington"
KCLK,"Clinton, Oklahoma"
KAFF,"Colorado Springs, Colorado"
KM46,"Colstrip, Montana"
H49,"Columbia, Illinois"
K2F7,"Commerce, Texas"
KCNK,"Concordia, Kansas"
KHYW,"Conway, South Carolina"
KCRO,"Corcoran, California"
KF36,"Cordell, Oklahoma"
K7N1,"Corning, New York"
KS84,"Cottonwood, Idaho"
K9A4,"Courtland, Alabama"
KCAG,"Craig, Colorado"
KC24,"Creede, Colorado"
K5S2,"Crescent Lake, Oregon"
KCEK,"Crete, Nebraska"
KW81,"Crewe, Virginia"
55G,"Croswell, Michigan"
K0E8,"Crownpoint, New Mexico"
KUBX,"Cuba, Missouri"
K32A,"Danville, Arkansas"
KNQB,"Daphne, Alabama"
K68S,"Davenport, Washington"
K16J,"Dawson, Georgia"
K8V1,"Del Norte, Colorado"
KDYA,"Demopolis, Alabama"
D63,"Dinsmore, California"
K9U4,"Dixon, Wyoming"
KU25,"Dubois, Wyoming"
KU69,"Duchesne, Utah"
K0M0,"Dumas, Arkansas"
DTG,"Dwight, Illinois"
N43,"Easton, Pennsylvania"
KESW,"Easton, Washington"
K26R,"Edna, Texas"
Y63,"Elbow Lake, Minnesota"
K3B4,"Eliot, Maine"
KELK,"Elk City, Oklahoma"
KA50,"Ellicott, Colorado"
K7W6,"Engelhard, North Carolina"
K4R7,"Eunice, Louisiana"
K05U,"Eureka, Nevada"
K3V0,"Fairburn, South Dakota"
KFFL,"Fairfield, Iowa"
KFMH,"Falmouth, Massachusetts"
PA88,"Farmington, Pennsylvania"
K2GC,"Fayetteville, North Carolina"
KD14,"Fertile, Minnesota"
KFES,"Festus, Missouri"
KFZG,"Fitzgerald, Georgia"
KFXY,"Forest City, Iowa"
KFCY,"Forrest City, Arkansas"
K1S3,"Forsyth, Montana"
K61C,"Fort Atkinson, Wisconsin"
K79S,"Fort Benton, Montana"
A28,"Fort Bidwell, California"
KFLV,"Fort Leavenworth, Kansas"
94FL,"Fort Myers, Florida"
FL59,"Fort Myers, Florida"
KFSU,"Fort Sumner, New Mexico"
K4T2,"Fort Worth, Texas"
KH88,"Fredericktown, Missouri"
K1I5,"Freehold, New York"
P37,"Freeport, Pennsylvania"
KM33,"Gallatin, Tennessee"
KJXI,"Gilmer, Texas"
K07F,"Gladewater, Texas"
Z40,"Goose Bay, Alaska"
GVE,"Gordonsville, Virginia"
0TX1,"Granbury, Texas"
K4D0,"Grand Ledge, Michigan"
KCKC,"Grand Marais, Minnesota"
KU34,"Green River, Utah"
KGFZ,"Greenfield, Iowa"
KPRN,"Greenville, Alabama"
KM21,"Greenville, Kentucky"
K9D1,"Gregory, South Dakota"
K33R,"Groveton, Texas"
K1M4,"Haleyville, Alabama"
K34R,"Hallettsville, Texas"
KHCO,"Hallock, Minnesota"
KHPT,"Hampton, Iowa"
64I,"Hanover, Indiana"
K36S,"Happy Camp, California"
KHWQ,"Harlowton, Montana"
K8K2,"Harper, Kansas"
K0C0,"Harvard, Illinois"
5B9,"Haverhill, New Hampshire"
K51A,"Hawkinsville, Georgia"
KK20,"Hazard, Kentucky"
KHBV,"Hebbronville, Texas"
KH37,"Herlong, California"
06Y,"Herman, Minnesota"
K63M,"Hermann, Missouri"
KHEI,"Hettinger, North Dakota"
H07,"Highland, Illinois"
07Y,"Hill City, Minnesota"
KY95,"Hillman, Michigan"
KHBW,"Hillsboro, Wisconsin"
KF99,"Holdenville, Oklahoma"
KHLM,"Holland, Michigan"
KHEQ,"Holyoke, Colorado"
K0K7,"Humboldt, Iowa"
KM53,"Humboldt, Tennessee"
KH34,"Huntsville, Arkansas"
KHCD,"Hutchinson, Minnesota"
KIDG,"Ida Grove, Iowa"
KNRS,"Imperial Beach, California"
KIWD,"Ironwood, Michigan"
U53,"Island Park, Idaho"
K4R3,"Jackson, Alabama"
KEFW,"Jefferson, Iowa"
K24F,"Jefferson, Texas"
K1R1,"Jena, Louisiana"
KL32,"Jonesville, Louisiana"
K0VG,"Jonesville, Virginia"
KJDN,"Jordan, Montana"
K4S3,"Joseph, Oregon"
16X,"Justin, Texas"
K0V7,"Kayenta, Arizona"
89D,"Kelleys Island, Ohio"
K2R9,"Kenedy, Texas"
U61,"Ketchum, Idaho"
KEZI,"Kewanee, Illinois"
KIBM,"Kimball, Nebraska"
S51,"Klamath Glen, California"
9NC0,"Knightdale, North Carolina"
KOXV,"Knoxville, Iowa"
K45R,"Kountze/Silsbee, Texas"
K3M7,"Lafayette, Tennessee"
15FL,"Lake City, Florida"
X25,"Lake Wales, Florida"
K13C,"Lakeview, Michigan"
K2F5,"Lamesa, Texas"
KLKR,"Lancaster, South Carolina"
KLNL,"Land O' Lakes, Wisconsin"
KLQR,"Larned, Kansas"
W18,"Laurel, Maryland"
KLVL,"Lawrenceville, Virginia"
KLRJ,"Le Mars, Iowa"
KPVE,"Lexington-Parsons, Tennessee"
K63B,"Limington, Maine"
0R2,"Lincoln, Missouri"
K1K2,"Lindsay, Oklahoma"
KLIU,"Littlefield, Texas"
K6L4,"Logan, West Virginia"
KGGP,"Logansport, Indiana"
KE98,"Los Lunas, New Mexico"
K0F4,"Loup City, Nebraska"
8XS8,"Lubbock, Texas"
5Y4,"Luzerne, Michigan"
K20M,"Macon, Mississippi"
K1F4,"Madill, Oklahoma"
KMAW,"Malden, Missouri"
75G,"Manchester, Michigan"
KD25,"Manitowish Waters, Wisconsin"
K6M7,"Marianna, Arkansas"
T40,"Marietta, Oklahoma"
KC17,"Marion, Iowa"
KMKV,"Marksville, Louisiana"
K77G,"Marlette, Michigan"
K4A5,"Marshall, Arkansas"
KMML,"Marshall, Minnesota"
ID40,"Marsing, Idaho"
MD1,"Massey, Maryland"
KM94,"Mattawa, Washington"
KM25,"Mayfield, Kentucky"
24K,"Mc Call, Idaho"
KHZX,"Mc Gregor, Minnesota"
KE48,"McCamey, Texas"
KMEJ,"Meade, Kansas"
KEEO,"Meeker, Colorado"
KRRL,"Merrill, Wisconsin"
KMHP,"Metter, Georgia"
K7G8,"Middlefield, Ohio"
K1A6,"Middlesboro, Kentucky"
18Y,"Milaca, Minnesota"
4D8,"Milford, Iowa"
K2J5,"Millen, Georgia"
KMKA,"Miller, South Dakota"
K10G,"Millersburg, Ohio"
KNFJ,"Milton, Florida"
K0V3,"Minden, Nebraska"
C66,"Monmouth, Illinois"
K53A,"Montezuma, Georgia"
K6M6,"Monticello, Missouri"
KJKJ,"Moorhead, Minnesota"
I32,"Morehead, Kentucky"
22Y,"Motley, Minnesota"
KMUL,"Moultrie, Georgia"
K47K,"Moundridge, Kansas"
K43U,"Mount Pleasant, Utah"
K2MO,"Mount Vernon, Missouri"
K6G4,"Mount Vernon, Ohio"
K6A4,"Mountain City, Tennessee"
K1MO,"Mountain Grove, Missouri"
K7M2,"Mountain View, Arkansas"
K37F,"Munday, Texas"
1U3,"Murphy, Idaho"
16S,"Myrtle Creek, Oregon"
K4J1,"Nahunta, Georgia"
3NP,"Napoleon, Michigan"
KC03,"Nappanee, Indiana"
KAFK,"Nebraska City, Nebraska"
K2K7,"Neodesha, Kansas"
FA40,"New Port Richey, Florida"
KM19,"Newport, Arkansas"
KM23,"Newton, Mississippi"
K3TR,"Niles, Michigan"
KF48,"Nocona, Texas"
4G3,"North Benton, Ohio"
K5A1,"Norwalk, Ohio"
KAIB,"Nucla, Colorado"
17FL,"Ocala, Florida"
OK03,"Oklahoma City, Oklahoma"
KOMK,"Omak, Washington"
KORC,"Orange City, Iowa"
57AZ,"Oro Valley, Arizona"
KORB,"Orr, Minnesota"
KOWX,"Ottawa, Ohio"
AZ82,"Overgaard, Arizona"
IA24,"Oxford, Iowa"
KOXD,"Oxford, Ohio"
K7M5,"Ozark, Arkansas"
KOZA,"Ozona, Texas"
13MA,"Palmer, Massachusetts"
I42,"Paoli, Indiana"
KPGR,"Paragould, Arkansas"
KPRG,"Paris, Illinois"
KPHT,"Paris, Tennessee"
KPKF,"Park Falls, Wisconsin"
K1C1,"Paxton, Illinois"
KPSB,"Philipsburg, Pennsylvania"
K3I7,"Phillipsburg, Ohio"
KIEN,"Pine Ridge, South Dakota"
K2L0,"Pineville, Louisiana"
KK09,"Piseco, New York"
N85,"Pittstown, New Jersey"
FA54,"Placida, Florida"
KPWD,"Plentywood, Montana"
KPOH,"Pocahontas, Iowa"
KP10,"Polacca, Arizona"
K8S1,"Polson, Montana"
KPRZ,"Portales, New Mexico"
K1A9,"Prattville, Alabama"
1S6,"Priest River, Idaho"
KPNN,"Princeton, Maine"
KS40,"Prosser, Washington"
KF01,"Quanah, Texas"
5AZ3,"Queen Creek, Arizona"
O39,"Ravendale, California"
KM16,"Raymond, Mississippi"
RDV,"Red Devil, Alaska"
KRDK,"Red Oak, Iowa"
K1D8,"Redfield, South Dakota"
US-3T9,"Redford, Texas"
K3M8,"Reform, Alabama"
KRFG,"Refugio, Texas"
KRVJ,"Reidsville, Georgia"
K93C,"Richland Center, Wisconsin"
K7A5,"Roanoke, Alabama"
KRZZ,"Roanoke Rapids, North Carolina"
KIXA,"Roanoke Rapids, North Carolina"
KRVN,"Rogersville, Tennessee"
K07,"Rolla, Missouri"
K55Y,"Rushford, Minnesota"
KK83,"Sabetha, Kansas"
K7M9,"Salem, Arkansas"
I83,"Salem, Indiana"
KJSV,"Sallisaw, Oklahoma"
K81R,"San Saba, Texas"
KOKZ,"Sandersville, Georgia"
K4B7,"Schroon Lake, New York"
K9S2,"Scobey, Montana"
E70,"Seguin, Texas"
KGNC,"Seminole, Texas"
KSER,"Seymour, Indiana"
K12G,"Shelby, Ohio"
K0A3,"Smithville, Tennessee"
KU78,"Soda Springs, Idaho"
KD68,"Springerville, Arizona"
KU12,"St Anthony, Idaho"
KK39,"St Clair, Missouri"
K2R5,"St Elmo, Alabama"
K3K6,"St Jacob, Illinois"
KJYG,"St James, Minnesota"
K4J6,"St Marys, Georgia"
K43A,"Star, North Carolina"
KSVH,"Statesville, North Carolina"
SRV,"Stony River, Alaska"
KN69,"Stormville, New York"
KUXL,"Sulphur, Louisiana"
KNFD,"Summerdale, Alabama"
KSMS,"Sumter, South Carolina"
K9S4,"Superior, Montana"
K48I,"Sutton, West Virginia"
KSBO,"Swainsboro, Georgia"
6F1,"Talihina, Oklahoma"
KTYL,"Taylor, Arizona"
K68F,"Teague, Texas"
KL94,"Tehachapi, California"
KTQE,"Tekamah, Nebraska"
K42M,"Thayer, Missouri"
3U0,"Three Creek, Idaho"
KY72,"Tomah, Wisconsin"
KTKV,"Tomahawk, Wisconsin"
K12D,"Tower, Minnesota"
KTRX,"Trenton, Missouri"
5K2,"Tribune, Kansas"
KTAD,"Trinidad, Colorado"
2S0,"Twisp, Washington"
KVHN,"Van Horn, Texas"
2S1,"Vashon, Washington"
K0R4,"Vidalia, Louisiana"
KADC,"Wadena, Minnesota"
KAFP,"Wadesboro, North Carolina"
KAHQ,"Wahoo, Nebraska"
06MO,"Waldron, Missouri"
K6V4,"Wall, South Dakota"
K7B6,"Warehouse Point, Connecticut"
KRRT,"Warroad, Minnesota"
6P3,"Waunakee, Wisconsin"
KY50,"Wautoma, Wisconsin"
C25,"Waverly, Iowa"
KEOP,"Waverly, Ohio"
KN52,"Waxhaw, North Carolina"
K2R0,"Waynesboro, Mississippi"
K1D7,"Webster, South Dakota"
9WN2,"Webster, Wisconsin"
NV33,"Wellington, Nevada"
68Y,"Wells, Minnesota"
KY31,"West Branch, Michigan"
K31E,"West Creek, New Jersey"
08R,"West Kingston, Rhode Island"
KM83,"West Point, Mississippi"
KC08,"Westcliffe, Colorado"
I72,"Westfield, Indiana"
K7S6,"White Sulphur Springs, Montana"
KE24,"Whiteriver, Arizona"
K2S8,"Wilbur, Washington"
K8G1,"Willard, Ohio"
KW38,"Williamsburg, Kentucky"
KILL,"Willmar, Minnesota"
PAUO,"Willow, Alaska"
K1H5,"Willow Springs, Missouri"
KI66,"Wilmington, Ohio"
KRWN,"Winamac, Indiana"
KRQE,"Window Rock, Arizona"
KFDW,"Winnsboro, South Carolina"
KF51,"Winnsboro, Texas"
K77F,"Winters, Texas"
K3Y3,"Winterset, Iowa"
KS52,"Winthrop, Washington"
K5A9,"Woodbury, Georgia"
KZ98,"Zeeland, Michigan"
5KE,"Ketchikan, Alaska"
KNHU,"Norfolk, Virginia"
PACV,"Cordova, Alaska"
PAWG,"Wrangell, Alaska"
PANI,"Aniak, Alaska"
PANV,"Anvik, Alaska"
PARC,"Arctic Village, Alaska"
KMCB,"McComb, Mississippi"
KNMM,"Meridian, Mississippi"
PAFB,"Fairbanks/Ft Wainwright, Alaska"
PAGA,"Galena, Alaska"
KAPG,"Aberdeen Proving Grounds(Aberdeen), Maryland"
PATQ,"Atqasuk, Alaska"
KSUZ,"Benton, Arkansas"
KCCY,"Charles City, Iowa"
KMMT,"Eastover, South Carolina"
KMUI,"Fort Indiantown Gap(Annville), Pennsylvania"
KFTK,"Fort Knox, Kentucky"
KFRI,"Fort Riley (Junction City), Kansas"
PFYU,"Fort Yukon, Alaska"
KJKL,"Jackson, Kentucky"
PAFE,"Kake, Alaska"
PAIK,"Kiana, Alaska"
PAKW,"Klawock, Alaska"
KNEL,"Lakehurst, New Jersey"
KDRA,"Mercury, Nevada"
PANN,"Nenana, Alaska"
PAWN,"Noatak, Alaska"
PAPM,"Platinum, Alaska"
PPIZ,"Point Lay, Alaska"
PAPH,"Port Heiden, Alaska"
KNYG,"Quantico, Virginia"
PASA,"Savoonga, Alaska"
PASH,"Shishmaref, Alaska"
PAWI,"Wainwright, Alaska"
KILN,"Wilmington, Ohio"
PAVA,"Chevak, Alaska"
PASK,"Selawik, Alaska"
PAUT,"Akutan, Alaska"
9A3,"Chuathbaluk, Alaska"
16A,"Nunapitchuk, Alaska"
PATE,"Teller, Alaska"
PAIW,"Wales, Alaska"
PAEE,"Eek, Alaska"
GNU,"Goodnews, Alaska"
KF83,"Abernathy, Texas"
K9M4,"Ackerman, Mississippi"
KASJ,"Ahoskie, North Carolina"
KP01,"Ajo, Arizona"
PAKH,"Akhiok, Alaska"
PFAK,"Akiak, Alaska"
5KY7,"Albany, Kentucky"
K4C8,"Albia, Iowa"
KBVN,"Albion, Nebraska"
C00,"Aledo, Illinois"
I99,"Alexandria, Indiana"
KAIV,"Aliceville, Alabama"
PFAL,"Allakaket, Alaska"
KPHH,"Andrews, South Carolina"
KAXX,"Angel Fire, New Mexico"
TA50,"Anthony, New Mexico"
K7A4,"Apple River, Illinois"
KAOC,"Arco, Idaho"
KM89,"Arkadelphia, Arkansas"
3A9,"Arlington, South Dakota"
KCVK,"Ash Flat, Arkansas"
KK58,"Ashland, Kansas"
K26A,"Ashland/Lineville, Alabama"
77MI,"Athens, Michigan"
2ID4,"Athol, Idaho"
PAAK,"Atka, Alaska"
K8V2,"Atkinson, Nebraska"
PAAT,"Attu, Alaska"
KM60,"Augusta, Arkansas"
K3U7,"Augusta, Montana"
K2H2,"Aurora, Missouri"
7Y3,"Backus, Minnesota"
M74,"Bald Knob, Arkansas"
K6G5,"Barnesville, Ohio"
2M1,"Bates City, Missouri"
K00M,"Bay Springs, Mississippi"
K20U,"Beach, North Dakota"
PAWB,"Beaver, Alaska"
65LA,"Belle Chasse, Louisiana"
KTZT,"Belle Plaine, Iowa"
KBBB,"Benson, Minnesota"
KH96,"Benton, Illinois"
KW35,"Berkeley Springs, West Virginia"
PABM,"Big Mountain, Alaska"
K3U8,"Big Sandy, Montana"
18TE,"Big Sandy, Texas"
K6V5,"Bison, South Dakota"
KBTA,"Blair, Nebraska"
KSBU,"Blue Earth, Minnesota"
KBXA,"Bogalusa, Louisiana"
K17K,"Boise City, Oklahoma"
KBDJ,"Boulder Junction, Wisconsin"
KBPP,"Bowman, North Dakota"
0B2,"Brewer, Maine"
CO12,"Brighton, Colorado"
K3F7,"Bristow, Oklahoma"
6G8,"Brooklyn, Michigan"
I62,"Brookville, Ohio"
9G0,"Buffalo, New York"
KU03,"Buhl, Idaho"
K37K,"Burneyville, Oklahoma"
K09A,"Butler, Alabama"
K0A2,"Calhoun Falls, South Carolina"
KCLR,"Calipatria, California"
KCSB,"Cambridge, Nebraska"
KCDH,"Camden, Arkansas"
K0M4,"Camden, Tennessee"
KRYM,"Camp Ripley, Minnesota"
KRBM,"Camp Robinson/Little Rock, Arkansas"
19AZ,"Camp Verde, Arizona"
K4M3,"Carlisle, Arkansas"
KCUL,"Carmi, Illinois"
KCFS,"Caro, Michigan"
KX13,"Carrabelle, Florida"
K46D,"Carrington, North Dakota"
KF37,"Carrizozo, New Mexico"
K26,"Carrollton, Missouri"
KM05,"Caruthersville, Missouri"
K94K,"Cassville, Missouri"
Y04,"Cedar, Michigan"
KGHM,"Centerville, Tennessee"
K0A8,"Centreville, Alabama"
KN68,"Chambersburg, Pennsylvania"
KCNC,"Chariton, Iowa"
K5R1,"Chatom, Alabama"
K4O5,"Cherokee, Oklahoma"
KCKA,"Cherokee, Oklahoma"
KLTY,"Chester, Montana"
KE91,"Chinle, Arizona"
8Y5,"Clarissa, Minnesota"
K8D7,"Clark, South Dakota"
KCKM,"Clarksdale, Mississippi"
KCYW,"Clay Center, Kansas"
GE99,"Clayton, Georgia"
K2A2,"Clinton, Arkansas"
7N4,"Clinton, Michigan"
K48A,"Cochran, Georgia"
PACX,"Coldfoot, Alaska"
08MS,"Coldwater, Mississippi"
KF86,"Columbia, Louisiana"
K0R0,"Columbia, Mississippi"
63S,"Colville, Washington"
K3S9,"Condon, Oregon"
KCEV,"Connersville, Indiana"
KS01,"Conrad, Montana"
AR06,"Conway, Arkansas"
KCQM,"Cook, Minnesota"
KS32,"Cooperstown, North Dakota"
K4M9,"Corning, Arkansas"
KCZD,"Cozad, Nebraska"
KE13,"Crane, Texas"
